tlemma,slemma,rlemma,tidx,sidx,ridx,tword,sword,rword,pcom,sennum,tnum,Translation,Speaker,Addressee,Sender,Recipient,Document_type,Verb_metaphor_status,Verb_metonymy_status,PP_type,PP_metaphor_status,PP_metonymy_status,Bad_analysis,Notes
petû,pānu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s173_118,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s173_117,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s173_116,ipti,pānīka,ina,http://oracc.org/saao/saa18/P237682,173,173,,,,,,,,,,,,,
rabû,muhhu,ana,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s182_110,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s182_107,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s182_106,lirbi,muhhikunu,ana,http://oracc.org/saao/saa18/P237253,182,182,,,,,,,,,,,,,
ezēbu,libbu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s165_53,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s165_51,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s165_50,ušēzibū,libbišunu,ina,http://oracc.org/saao/saa18/P237197,165,165,,,,,,,,,,,,,
šalāṭu,muhhu,ana,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s182_146,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s182_144,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s182_143,išallaṭ,muhhikunu,ana,http://oracc.org/saao/saa18/P237253,182,182,,,,,,,,,,,,,
šasû,pānu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s164_320,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s164_318,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s164_317,lilsû,pān,ina,http://oracc.org/saao/saa18/P238758,164,164,,,,,,,,,,,,,
šakānu,pānu,ana,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s174_30,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s174_27,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s174_26,išakkanū,pān,ana,http://oracc.org/saao/saa18/P240445,174,174,,,,,,,,,,,,,
wabālu,qātu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s181_45,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s181_43,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s181_42,šūbila,qātē,ina,http://oracc.org/saao/saa18/P237324,181,181,,,,,,,,,,,,,
alāku,pānu,ana,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s187_183,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s187_182,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s187_181,tallika,pānīya,ana,http://oracc.org/saao/saa18/P238506,187,187,,,,,,,,,,,,,
šakānu,šēpu,ana,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s18_401,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s18_400,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s18_399,išakkanū,šēpīšu,ana,http://oracc.org/saao/saa18/P238450,18,18,,,,,,,,,,,,,
šaknu,libbu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s191_11,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s191_9,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s191_8,šaknat,libbi,ina,http://oracc.org/saao/saa18/P237183,191,191,,,,,,,,,,,,,
tebû,muhhu,ana,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s194_51,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s194_49,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s194_48,itbû,muhhišunu,ana,http://oracc.org/saao/saa18/P237828,194,194,,,,,,,,,,,,,
qabû,muhhu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s195_12,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s195_11,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s195_10,iqabbû,muhhīni,ina,http://oracc.org/saao/saa18/P240245,195,195,,,,,,,,,,,,,
dabābu,muhhu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s199_108,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s199_107,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s199_106,idbubū,muhhīka,ina,http://oracc.org/saao/saa18/P238201,199,199,,,,,,,,,,,,,
šakānu,qātu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s199_112,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s199_111,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s199_110,ašakkan,qātēka,ina,http://oracc.org/saao/saa18/P238201,199,199,,,,,,,,,,,,,
ṣabātu,šēpu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s199_145,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s199_141,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s199_140,taṣabbat,šēpē,ina,http://oracc.org/saao/saa18/P238201,199,199,"do not grasp the feet of the king, (at-ta i-na GÌR.2-MEŠ šá LUGAL la ta-ṣab-bat )",,,,,,,,,,,,Same issue with 'ina'
ṣabātu,šēpu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s199_156,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s199_153,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s199_152,ṣabatma,šēpē,ina,http://oracc.org/saao/saa18/P238201,199,199,,,,,,,,,,,,,
kânu,pānu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s199_200,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s199_198,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s199_197,lukinnū,pān,ina,http://oracc.org/saao/saa18/P238201,199,199,,,,,,,,,,,,,
parsu,muhhu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s199_548,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s199_547,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s199_546,parīsi,muhhišunu,ina,http://oracc.org/saao/saa18/P238201,199,199,,,,,,,,,,,,,
paqādu,muhhu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s24_438,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s24_436,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s24_435,lipqid,muhhi,ina,http://oracc.org/saao/saa18/P238351,24,24,,,,,,,,,,,,,
elû,muhhu,ana,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s19_151,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s19_141,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s19_140,ultēliu,muhhi,ana,http://oracc.org/saao/saa18/P237260,19,19,,,,,,,,,,,,,
wussû,libbu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s30_106,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s30_103,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s30_102,lumassi,libbi,ina,http://oracc.org/saao/saa18/P237327,30,30,,,,,,,,,,,,,
banû,libbu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s27_136,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s27_132,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s27_131,abtani,libbi,ina,http://oracc.org/saao/saa18/P336157,27,27,,,,,,,,,,,,,
dabābu,muhhu,ana,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s33_168,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s33_165,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s33_164,adbubu,muhhi,ana,http://oracc.org/saao/saa18/P237980,33,33,,,,,,,,,,,,,
bašû,pānu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s24_105,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s24_103,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s24_102,ibašši,pān,ina,http://oracc.org/saao/saa18/P238351,24,24,,,,,,,,,,,,,
dabābu,muhhu,ana,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s33_129,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s33_145,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s33_144,adabbub,muhhi,ana,http://oracc.org/saao/saa18/P237980,33,33,,,,,,,,,,,,,
kamāsu,pānu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s19_28,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s19_24,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s19_23,lišakmis,pān,ina,http://oracc.org/saao/saa18/P237260,19,19,,,,,,,,,,,,,
dabābu,muhhu,ana,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s33_35,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s33_17,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s33_16,idbub,muhhi,ana,http://oracc.org/saao/saa18/P237980,33,33,,,,,,,,,,,,,
šapāru,qātu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s1_68,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s1_63,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s1_62,altapraššu,qātē,ina,http://oracc.org/saao/saa18/P237193,1,1,,,,,,,,,,,,,
šakānu,šēpu,ana,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s24_131,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s24_123,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s24_122,iškunū,šēpē,ana,http://oracc.org/saao/saa18/P238351,24,24,,,,,,,,,,,,,
dabābu,pānu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s199_83,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s199_79,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s199_78,idabbub,pān,ina,http://oracc.org/saao/saa18/P238201,199,199,,,,,,,,,,,,,
erēbu,pānu,ana,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s20_125,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s20_123,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s20_122,nušērib,pān,ana,http://oracc.org/saao/saa18/P238527,20,20,,,,,,,,,,,,,
šapāru,pānu,ana,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s33_30,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s33_29,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s33_28,ašpuru,pānīšu,ana,http://oracc.org/saao/saa18/P237980,33,33,,,,,,,,,,,,,
haṭû,libbu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s37_56,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s37_54,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s37_53,ihṭi,libbi,ina,http://oracc.org/saao/saa18/P237257,37,37,,,,,,,,,,,,,
šapāru,pānu,ana,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s3_150,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s3_145,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s3_144,altaparšunūti,pān,ana,http://oracc.org/saao/saa18/P237256,3,3,,,,,,,,,,,,,
šapāru,muhhu,ana,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s3_150,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s3_148,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s3_147,altaparšunūti,muhhi,ana,http://oracc.org/saao/saa18/P237256,3,3,,,,,,,,,,,,,
pahāru,libbu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s37_163,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s37_162,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s37_161,uptahharū,libbi,ina,http://oracc.org/saao/saa18/P237257,37,37,,,,,,,,,,,,,
dabābu,libbu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s39_44,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s39_46,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s39_45,idabbubū,libbi,ina,http://oracc.org/saao/saa18/P239167,39,39,,,,,,,,,,,,,
